"OHX31CTC.Code.or.Value","OHX31CTC.Value.Description","OHX31CTC.Count","OHX31CTC.Cumulative","OHX31CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",960,960,NA
"F","Permanent tooth with a restored surface condition",2150,3110,NA
"J","Permanent root tip is present but no restorative replacement is present",63,3173,NA
"K","Primary tooth with a dental carious surface condition",0,3173,NA
"M","Missing due to other causes",8,3181,NA
"P","Missing due to dental disease but replaced by a removable restoration",517,3698,NA
"Q","Missing due to other causes but replaced by a removable restoration",16,3714,NA
"R","Missing due to dental disease but replaced by a fixed restoration",36,3750,NA
"S","Sound permanent tooth",2522,6272,NA
"T","Permanent root tip is present but a restorative replacement is present",1,6273,NA
"U","Unerupted",2290,8563,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8564,NA
"Y","Tooth present, condition cannot be assessed",26,8590,NA
"Z","Permanent tooth with a dental carious surface condition",268,8858,NA
"< blank >","Missing",307,9165,NA
