"FFQ0095.Code.or.Value","FFQ0095.Value.Description","FFQ0095.Count","FFQ0095.Cumulative","FFQ0095.Skip.to.Item"
1,"never",3154,3154,NA
2,"1-6 times per year",1108,4262,NA
3,"7-11 times per year",578,4840,NA
4,"1 time per month",530,5370,NA
5,"2-3 times per month",502,5872,NA
6,"1 time per week",213,6085,NA
7,"2 times per week",153,6238,NA
8,"3-4 times per week",44,6282,NA
9,"5-6 times per week",17,6299,NA
10,"1 time per day",15,6314,NA
11,"2 or more times per day",5,6319,NA
88,"Blank",137,6456,NA
99,"Error",16,6472,NA
