"FFQ0089.Code.or.Value","FFQ0089.Value.Description","FFQ0089.Count","FFQ0089.Cumulative","FFQ0089.Skip.to.Item"
1,"never",1062,1062,"FFQ0090"
2,"1-6 times per year",973,2035,""
3,"7-11 times per year",785,2820,""
4,"1 time per month",784,3604,""
5,"2-3 times per month",1244,4848,""
6,"1 time per week",614,5462,""
7,"2 times per week",411,5873,""
8,"3-4 times per week",270,6143,""
9,"5-6 times per week",102,6245,""
10,"1 time per day",74,6319,""
11,"2 or more times per day",19,6338,""
88,"Blank",110,6448,""
99,"Error",24,6472,""
