"OHX04CTC.Code.or.Value","OHX04CTC.Value.Description","OHX04CTC.Count","OHX04CTC.Cumulative","OHX04CTC.Skip.to.Item"
"D","Sound primary tooth",1184,1184,NA
"E","Missing due to dental disease",380,1564,NA
"K","Primary tooth with surface condition (s)",326,1890,NA
"M","Missing due to other causes",2,1892,NA
"R","Missing due to dental disease but replaced",858,2750,NA
"S","Sound permanent tooth",3988,6738,NA
"U","Unerupted",78,6816,NA
"X","Missing due to other causes but replaced",12,6828,NA
"Y","Tooth present, condition cannot be assessed",9,6837,NA
"Z","Permanent tooth with surface condition (s)",1205,8042,NA
"< blank >","Missing",545,8587,NA
