"IND235.Code.or.Value","IND235.Value.Description","IND235.Count","IND235.Cumulative","IND235.Skip.to.Item"
"1","$0 - $399",317,317,NA
"2","$400 - $799",488,805,NA
"3","$800 - $1249",1012,1817,NA
"4","$1250 - $1649",789,2606,NA
"5","$1650 - $2099",863,3469,NA
"6","$2100 - $2899",981,4450,NA
"7","$2900 - $3749",1010,5460,NA
"8","$3750 - $4599",769,6229,NA
"9","$4600 - $5399",539,6768,NA
"10","$5400 - $6249",401,7169,NA
"11","$6250 - $8399",717,7886,NA
"12","$8400 and over",1223,9109,NA
"77","Refused",235,9344,NA
"99","Don't know",462,9806,NA
".","Missing",369,10175,NA
