"OHQ030.Code.or.Value","OHQ030.Value.Description","OHQ030.Count","OHQ030.Cumulative","OHQ030.Skip.to.Item"
"1","6 months or less",4219,4219,""
"2","More than 6 months, but not more than 1 year ago",1494,5713,""
"3","More than 1 year, but not more than 2 years ago",1050,6763,""
"4","More than 2 years, but not more than 3 years ago",507,7270,""
"5","More than 3 years, but not more than 5 years ago",483,7753,""
"6","More than 5 years ago",903,8656,""
"7","Never have been",684,9340,"OHQ605"
"77","Refused",1,9341,""
"99","Don't know",22,9363,""
".","Missing",1,9364,""
