"OHX28CTC.Code.or.Value","OHX28CTC.Value.Description","OHX28CTC.Count","OHX28CTC.Cumulative","OHX28CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",214,214,NA
"D","Sound primary tooth",1208,1422,NA
"E","Missing due to dental disease",224,1646,NA
"F","Permanent tooth with a restored surface condition",636,2282,NA
"J","Permanent root tip is present but no restorative replacement is present",40,2322,NA
"K","Primary tooth with a dental carious surface condition",66,2388,NA
"M","Missing due to other causes",169,2557,NA
"P","Missing due to dental disease but replaced by a removable restoration",452,3009,NA
"Q","Missing due to other causes but replaced by a removable restoration",18,3027,NA
"R","Missing due to dental disease but replaced by a fixed restoration",22,3049,NA
"S","Sound permanent tooth",4852,7901,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7903,NA
"U","Unerupted",124,8027,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8027,NA
"Y","Tooth present, condition cannot be assessed",2,8029,NA
"Z","Permanent tooth with a dental carious surface condition",71,8100,NA
"< blank >","Missing",266,8366,NA
