"FFQ0035B.Code.or.Value","FFQ0035B.Value.Description","FFQ0035B.Count","FFQ0035B.Cumulative","FFQ0035B.Skip.to.Item"
1,"never",218,218,NA
2,"1-6 times per year",930,1148,NA
3,"7-11 times per year",771,1919,NA
4,"1 time per month",637,2556,NA
5,"2-3 times per month",1347,3903,NA
6,"1 time per week",766,4669,NA
7,"2 times per week",714,5383,NA
8,"3-4 times per week",383,5766,NA
9,"5-6 times per week",90,5856,NA
10,"1 time per day",41,5897,NA
11,"2 or more times per day",25,5922,NA
88,"Blank",518,6440,NA
99,"Error",32,6472,NA
