"DR2FS.Code.or.Value","DR2FS.Value.Description","DR2FS.Count","DR2FS.Cumulative","DR2FS.Skip.to.Item"
"1","Store",94700,94700,NA
"2","Restaurant with waiter/waitress",5386,100086,NA
"3","Restaurant fast food/pizza",8478,108564,NA
"4","Bar/tavern/lounge",137,108701,NA
"5","Restaurant no additional information",15,108716,NA
"6","Cafeteria not at school",987,109703,NA
"7","Cafeteria at school",5521,115224,NA
"8","Child care center",616,115840,NA
"9","Family/adult day care center",40,115880,NA
"10","Soup kitchen/shelter/food pantry",23,115903,NA
"11","Meals on Wheels",72,115975,NA
"12","Community food program - other",317,116292,NA
"13","Community program no additional information",0,116292,NA
"14","Vending machine",602,116894,NA
"15","Common coffee pot or snack tray",588,117482,NA
"16","From someone else/gift",3201,120683,NA
"17","Mail order purchase",104,120787,NA
"18","Residential dining facility",194,120981,NA
"19","Grown or caught by you or someone you know",757,121738,NA
"20","Fish caught by you or someone you know",41,121779,NA
"24","Sport, recreation, or entertainment facility",349,122128,NA
"25","Street vendor, vending truck",260,122388,NA
"26","Fundraiser sales",36,122424,NA
"91","Other, specify",119,122543,NA
"99","Don't know",25,122568,NA
".","Missing",9583,132151,NA
