"OHX25CSC.Code.or.Value","OHX25CSC.Value.Description","OHX25CSC.Count","OHX25CSC.Cumulative","OHX25CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",78,78,NA
"0","Lingual surface caries",0,78,NA
"2","Facial surface caries",3,81,NA
"3","Mesial caries",15,96,NA
"4","Distal caries",11,107,NA
"5","Lingual surface restoration",6,113,NA
"7","Facial surface restoration",5,118,NA
"8","Mesial restoration",8,126,NA
"9","Distal restoration",19,145,NA
"< blank >","Missing",8702,8847,NA
