"OHD27CTC.Code.or.Value","OHD27CTC.Value.Description","OHD27CTC.Count","OHD27CTC.Cumulative","OHD27CTC.Skip.to.Item"
"D","Sound primary tooth",1607,1607,NA
"E","Missing due to dental disease",69,1676,NA
"K","Primary tooth with surface condition (s)",29,1705,NA
"M","Missing due to other causes",5,1710,NA
"R","Missing due to dental disease but replaced",432,2142,NA
"S","Sound permanent tooth",6439,8581,NA
"U","Unerupted",64,8645,NA
"X","Missing due to other causes but replaced",13,8658,NA
"Y","Tooth present, condition cannot be assessed",56,8714,NA
"Z","Permanent tooth with surface condition (s)",257,8971,NA
"< blank >","Missing",627,9598,NA
