"FFQ0048.Code.or.Value","FFQ0048.Value.Description","FFQ0048.Count","FFQ0048.Cumulative","FFQ0048.Skip.to.Item"
1,"never",1512,1512,NA
2,"1-6 times per year",1798,3310,NA
3,"7-11 times per year",910,4220,NA
4,"1 time per month",817,5037,NA
5,"2-3 times per month",769,5806,NA
6,"1 time per week",240,6046,NA
7,"2 times per week",137,6183,NA
8,"3-4 times per week",54,6237,NA
9,"5-6 times per week",12,6249,NA
10,"1 time per day",29,6278,NA
11,"2 or more times per day",18,6296,NA
88,"Blank",150,6446,NA
99,"Error",26,6472,NA
