"DMDEDUC3.Code.or.Value","DMDEDUC3.Value.Description","DMDEDUC3.Count","DMDEDUC3.Cumulative","DMDEDUC3.Skip.to.Item"
"0","Never Attended / Kindergarten Only",260,260,NA
"1","1st Grade",224,484,NA
"2","2nd Grade",225,709,NA
"3","3rd Grade",199,908,NA
"4","4th Grade",194,1102,NA
"5","5th Grade",246,1348,NA
"6","6th Grade",328,1676,NA
"7","7th Grade",297,1973,NA
"8","8th Grade",351,2324,NA
"9","9th Grade",327,2651,NA
"10","10th Grade",324,2975,NA
"11","11th Grade",319,3294,NA
"12","12th Grade, No Diploma",50,3344,NA
"13","High School Graduate",191,3535,NA
"14","GED or Equivalent",20,3555,NA
"15","More than high school",95,3650,NA
"55","Less Than 5th Grade",6,3656,NA
"66","Less Than 9th Grade",71,3727,NA
"77","Refused",0,3727,NA
"99","Don't know",2,3729,NA
".","Missing",7310,11039,NA
