"OHX11CSC.Code.or.Value","OHX11CSC.Value.Description","OHX11CSC.Count","OHX11CSC.Cumulative","OHX11CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #11","Value was recorded",401,401,NA
"0","Lingual surface caries",23,424,NA
"2","Facial surface caries",50,474,NA
"3","Mesial caries",16,490,NA
"4","Distal caries",32,522,NA
"5","Lingual surface restoration",23,545,NA
"7","Facial surface restoration",55,600,NA
"8","Mesial restoration",25,625,NA
"9","Distal restoration",48,673,NA
"< blank >","Missing",8749,9422,NA
