"FFQ0022.Code.or.Value","FFQ0022.Value.Description","FFQ0022.Count","FFQ0022.Cumulative","FFQ0022.Skip.to.Item"
1,"never",415,415,NA
2,"1-6 times per year",1212,1627,NA
3,"7-11 times per year",841,2468,NA
4,"1 time per month",698,3166,NA
5,"2-3 times per month",1265,4431,NA
6,"1 time per week",555,4986,NA
7,"2 times per week",576,5562,NA
8,"3-4 times per week",433,5995,NA
9,"5-6 times per week",168,6163,NA
10,"1 time per day",82,6245,NA
11,"2 or more times per day",91,6336,NA
88,"Blank",102,6438,NA
99,"Error",34,6472,NA
