"OHX19CTC.Code.or.Value","OHX19CTC.Value.Description","OHX19CTC.Count","OHX19CTC.Cumulative","OHX19CTC.Skip.to.Item"
"E","Missing due to dental disease",929,929,NA
"J","Permanent root tip is present but no restorative replacement is present",64,993,NA
"M","Missing due to other causes",7,1000,NA
"P","Missing due to dental disease but replaced by a removable restoration",731,1731,NA
"Q","Missing due to other causes but replaced by a removable restoration",3,1734,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",109,1843,NA
"S","Sound permanent tooth",2850,4693,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4693,NA
"U","Unerupted",788,5481,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,5481,NA
"Y","Tooth present, condition cannot be assessed",1,5482,NA
"Z","Permanent tooth with surface condition (s)",2763,8245,NA
"< blank >","Missing",602,8847,NA
