"OHX20CSC.Code.or.Value","OHX20CSC.Value.Description","OHX20CSC.Count","OHX20CSC.Cumulative","OHX20CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1020,1020,NA
"0","Lingual surface caries",2,1022,NA
"1","Occlusal/incisal caries",80,1102,NA
"2","Facial surface caries",14,1116,NA
"3","Mesial caries",8,1124,NA
"4","Distal caries",4,1128,NA
"5","Lingual surface restoration",3,1131,NA
"6","Occlusal/incisal restoration",399,1530,NA
"7","Facial surface restoration",26,1556,NA
"8","Mesial restoration",2,1558,NA
"9","Distal restoration",2,1560,NA
"< blank >","Missing",7027,8587,NA
