"FFQ0074.Code.or.Value","FFQ0074.Value.Description","FFQ0074.Count","FFQ0074.Cumulative","FFQ0074.Skip.to.Item"
1,"never",3213,3213,NA
2,"1-6 times per year",995,4208,NA
3,"7-11 times per year",364,4572,NA
4,"1 time per month",353,4925,NA
5,"2-3 times per month",452,5377,NA
6,"1 time per week",241,5618,NA
7,"2 times per week",186,5804,NA
8,"3-4 times per week",84,5888,NA
9,"5-6 times per week",33,5921,NA
10,"1 time per day",15,5936,NA
11,"2 or more times per day",6,5942,NA
88,"Blank",64,6006,NA
99,"Error",7,6013,NA
