"FFQ0117.Code.or.Value","FFQ0117.Value.Description","FFQ0117.Count","FFQ0117.Cumulative","FFQ0117.Skip.to.Item"
1,"never",2218,2218,NA
2,"1-6 times per year",1361,3579,NA
3,"7-11 times per year",643,4222,NA
4,"1 time per month",668,4890,NA
5,"2-3 times per month",661,5551,NA
6,"1 time per week",345,5896,NA
7,"2 times per week",252,6148,NA
8,"3-4 times per week",113,6261,NA
9,"5-6 times per week",26,6287,NA
10,"1 time per day",37,6324,NA
11,"2 or more times per day",23,6347,NA
88,"Blank",103,6450,NA
99,"Error",22,6472,NA
