"OHX09CSC.Code.or.Value","OHX09CSC.Value.Description","OHX09CSC.Count","OHX09CSC.Cumulative","OHX09CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #9","Value was recorded",314,314,NA
"0","Lingual AMALGAM restoration",1,315,NA
"1","Occlusal AMALGAM restoration",0,315,NA
"2","Facial AMALGAM restoration",5,320,NA
"3","Mesial AMALGAM restoration",1,321,NA
"4","Distal AMALGAM restoration",1,322,NA
"5","Lingual OTHER restoration",11,333,NA
"6","Occlusal OTHER restoration",0,333,NA
"7","Facial OTHER restoration",14,347,NA
"8","Mesial OTHER restoration",128,475,NA
"9","Distal OTHER restoration",126,601,NA
"-1","Crown (non-specific full-coverage restoration)",184,785,NA
"-4","Lingual caries",12,797,NA
"-5","Occlusal caries",0,797,NA
"-6","Facial caries",25,822,NA
"-7","Mesial caries",86,908,NA
"-8","Distal caries",56,964,NA
"< blank >","Missing",8201,9165,NA
