"OHX25CTC.Code.or.Value","OHX25CTC.Value.Description","OHX25CTC.Count","OHX25CTC.Cumulative","OHX25CTC.Skip.to.Item"
"D","Sound primary tooth",755,755,NA
"E","Missing due to dental disease",141,896,NA
"J","Permanent root tip is present but no restorative replacement is present",13,909,NA
"K","Primary tooth with surface condition (s)",5,914,NA
"M","Missing due to other causes",13,927,NA
"P","Missing due to dental disease but replaced by a removable restoration",563,1490,NA
"Q","Missing due to other causes but replaced by a removable restoration",10,1500,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",19,1519,NA
"S","Sound permanent tooth",6539,8058,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8058,NA
"U","Unerupted",16,8074,NA
"X","Missing due to other causes, but replaced by a fixed restoration",7,8081,NA
"Y","Tooth present, condition cannot be assessed",25,8106,NA
"Z","Permanent tooth with surface condition (s)",139,8245,NA
"< blank >","Missing",602,8847,NA
