"OHX22RSC.Code.or.Value","OHX22RSC.Value.Description","OHX22RSC.Count","OHX22RSC.Cumulative","OHX22RSC.Skip.to.Item"
"0","lingual AMALGAM restoration",0,0,NA
"1","occlusal AMALGAM restoration",0,0,NA
"2","facial AMALGAM restoration",0,0,NA
"3","mesial AMALGAM restoration",0,0,NA
"4","distal AMALGAM restoration",1,1,NA
"5","lingual OTHER restoration",0,1,NA
"6","occlusal OTHER restoration",0,1,NA
"7","facial OTHER restoration",1,2,NA
"8","mesial OTHER restoration",0,2,NA
"9","distal OTHER restoration",0,2,NA
"-1","Crown (non-specific full-coverage restoration)",3,5,NA
"< blank >","Missing",8361,8366,NA
