"OHX24CSC.Code.or.Value","OHX24CSC.Value.Description","OHX24CSC.Count","OHX24CSC.Cumulative","OHX24CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #24","Value was recorded",75,75,NA
"0","Lingual surface caries",3,78,NA
"2","Facial surface caries",11,89,NA
"3","Mesial caries",2,91,NA
"4","Distal caries",4,95,NA
"5","Lingual surface restoration",6,101,NA
"7","Facial surface restoration",19,120,NA
"8","Mesial restoration",2,122,NA
"9","Distal restoration",4,126,NA
"< blank >","Missing",9296,9422,NA
