"OHX26CSC.Code.or.Value","OHX26CSC.Value.Description","OHX26CSC.Count","OHX26CSC.Cumulative","OHX26CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #26","Value was recorded",39,39,NA
"0","Lingual AMALGAM restoration",0,39,NA
"1","Occlusal AMALGAM restoration",0,39,NA
"2","Facial AMALGAM restoration",2,41,NA
"3","Mesial AMALGAM restoration",1,42,NA
"4","Distal AMALGAM restoration",0,42,NA
"5","Lingual OTHER restoration",2,44,NA
"6","Occlusal OTHER restoration",0,44,NA
"7","Facial OTHER restoration",7,51,NA
"8","Mesial OTHER restoration",11,62,NA
"9","Distal OTHER restoration",7,69,NA
"-1","Crown (non-specific full-coverage restoration)",45,114,NA
"-4","Lingual caries",1,115,NA
"-5","Occlusal caries",0,115,NA
"-6","Facial caries",5,120,NA
"-7","Mesial caries",5,125,NA
"-8","Distal caries",8,133,NA
"< blank >","Missing",9032,9165,NA
