"OHD12CSC.Code.or.Value","OHD12CSC.Value.Description","OHD12CSC.Count","OHD12CSC.Cumulative","OHD12CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1205,1205,NA
"0","Lingual surface caries",3,1208,NA
"1","Occlusal/incisal caries",36,1244,NA
"2","Facial surface caries",12,1256,NA
"3","Mesial caries",11,1267,NA
"4","Distal caries",29,1296,NA
"5","Lingual surface restoration",0,1296,NA
"6","Occlusal/incisal restoration",298,1594,NA
"7","Facial surface restoration",11,1605,NA
"8","Mesial restoration",0,1605,NA
"9","Distal restoration",2,1607,NA
"< blank >","Missing",7991,9598,NA
