"FFQ0138.Code.or.Value","FFQ0138.Value.Description","FFQ0138.Count","FFQ0138.Cumulative","FFQ0138.Skip.to.Item"
1,"never",2603,2603,"FFQ0139"
2,"1-6 times per year",1023,3626,""
3,"7-11 times per year",579,4205,""
4,"1 time per month",527,4732,""
5,"2-3 times per month",850,5582,""
6,"1 time per week",312,5894,""
7,"2 times per week",241,6135,""
8,"3-4 times per week",111,6246,""
9,"5-6 times per week",27,6273,""
10,"1 time per day",33,6306,""
11,"2 or more times per day",8,6314,""
88,"Blank",134,6448,""
99,"Error",24,6472,""
