"OHX13CSC.Code.or.Value","OHX13CSC.Value.Description","OHX13CSC.Count","OHX13CSC.Cumulative","OHX13CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #13","Value was recorded",932,932,NA
"0","Lingual AMALGAM restoration",3,935,NA
"1","Occlusal AMALGAM restoration",139,1074,NA
"2","Facial AMALGAM restoration",1,1075,NA
"3","Mesial AMALGAM restoration",2,1077,NA
"4","Distal AMALGAM restoration",2,1079,NA
"5","Lingual OTHER restoration",0,1079,NA
"6","Occlusal OTHER restoration",150,1229,NA
"7","Facial OTHER restoration",3,1232,NA
"8","Mesial OTHER restoration",1,1233,NA
"9","Distal OTHER restoration",1,1234,NA
"-1","Crown (non-specific full-coverage restoration)",526,1760,NA
"-4","Lingual caries",6,1766,NA
"-5","Occlusal caries",40,1806,NA
"-6","Facial caries",3,1809,NA
"-7","Mesial caries",25,1834,NA
"-8","Distal caries",22,1856,NA
"< blank >","Missing",7309,9165,NA
