"FFQ0030.Code.or.Value","FFQ0030.Value.Description","FFQ0030.Count","FFQ0030.Cumulative","FFQ0030.Skip.to.Item"
1,"never",2467,2467,NA
2,"1-6 times per year",1430,3897,NA
3,"7-11 times per year",624,4521,NA
4,"1 time per month",571,5092,NA
5,"2-3 times per month",710,5802,NA
6,"1 time per week",268,6070,NA
7,"2 times per week",179,6249,NA
8,"3-4 times per week",47,6296,NA
9,"5-6 times per week",19,6315,NA
10,"1 time per day",42,6357,NA
11,"2 or more times per day",7,6364,NA
88,"Blank",79,6443,NA
99,"Error",29,6472,NA
