"FFQ0021B.Code.or.Value","FFQ0021B.Value.Description","FFQ0021B.Count","FFQ0021B.Cumulative","FFQ0021B.Skip.to.Item"
1,"never",805,805,NA
2,"1-6 times per year",1370,2175,NA
3,"7-11 times per year",675,2850,NA
4,"1 time per month",519,3369,NA
5,"2-3 times per month",886,4255,NA
6,"1 time per week",367,4622,NA
7,"2 times per week",341,4963,NA
8,"3-4 times per week",215,5178,NA
9,"5-6 times per week",74,5252,NA
10,"1 time per day",53,5305,NA
11,"2 or more times per day",54,5359,NA
88,"Blank",1083,6442,NA
99,"Error",30,6472,NA
