"OHX07CSC.Code.or.Value","OHX07CSC.Value.Description","OHX07CSC.Count","OHX07CSC.Cumulative","OHX07CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #7","Value was recorded",200,200,NA
"0","Lingual AMALGAM restoration",26,226,NA
"1","Occlusal AMALGAM restoration",0,226,NA
"2","Facial AMALGAM restoration",3,229,NA
"3","Mesial AMALGAM restoration",1,230,NA
"4","Distal AMALGAM restoration",0,230,NA
"5","Lingual OTHER restoration",20,250,NA
"6","Occlusal OTHER restoration",0,250,NA
"7","Facial OTHER restoration",17,267,NA
"8","Mesial OTHER restoration",162,429,NA
"9","Distal OTHER restoration",43,472,NA
"-1","Crown (non-specific full-coverage restoration)",171,643,NA
"-4","Lingual caries",13,656,NA
"-5","Occlusal caries",0,656,NA
"-6","Facial caries",14,670,NA
"-7","Mesial caries",79,749,NA
"-8","Distal caries",20,769,NA
"< blank >","Missing",8396,9165,NA
