"FFQ0035B.Code.or.Value","FFQ0035B.Value.Description","FFQ0035B.Count","FFQ0035B.Cumulative","FFQ0035B.Skip.to.Item"
1,"never",179,179,NA
2,"1-6 times per year",922,1101,NA
3,"7-11 times per year",661,1762,NA
4,"1 time per month",637,2399,NA
5,"2-3 times per month",1282,3681,NA
6,"1 time per week",726,4407,NA
7,"2 times per week",675,5082,NA
8,"3-4 times per week",342,5424,NA
9,"5-6 times per week",75,5499,NA
10,"1 time per day",38,5537,NA
11,"2 or more times per day",13,5550,NA
88,"Blank",447,5997,NA
99,"Error",16,6013,NA
