"OHX27CTC.Code.or.Value","OHX27CTC.Value.Description","OHX27CTC.Count","OHX27CTC.Cumulative","OHX27CTC.Skip.to.Item"
"D","Sound primary tooth",1322,1322,NA
"E","Missing due to dental disease",92,1414,NA
"K","Primary tooth with surface condition (s)",15,1429,NA
"M","Missing due to other causes",5,1434,NA
"R","Missing due to dental disease but replaced",429,1863,NA
"S","Sound permanent tooth",5830,7693,NA
"U","Unerupted",55,7748,NA
"X","Missing due to other causes but replaced",4,7752,NA
"Y","Tooth present, condition cannot be assessed",36,7788,NA
"Z","Permanent tooth with surface condition (s)",254,8042,NA
"< blank >","Missing",545,8587,NA
