"FFQ0003.Code.or.Value","FFQ0003.Value.Description","FFQ0003.Count","FFQ0003.Cumulative","FFQ0003.Skip.to.Item"
1,"never",1334,1334,NA
2,"1 time per month or less",1497,2831,NA
3,"2-3 times per month",1089,3920,NA
4,"1-2 times per week",746,4666,NA
5,"3-4 times per week",487,5153,NA
6,"5-6 times per week",210,5363,NA
7,"1 time per day",246,5609,NA
8,"2-3 times per day",259,5868,NA
9,"4-5 times per day",50,5918,NA
10,"6 or more times per day",22,5940,NA
88,"Blank",46,5986,NA
99,"Error",27,6013,NA
