"FFQ0122.Code.or.Value","FFQ0122.Value.Description","FFQ0122.Count","FFQ0122.Cumulative","FFQ0122.Skip.to.Item"
1,"never",641,641,"FFQ0123"
2,"1-6 times per year",337,978,""
3,"7-11 times per year",398,1376,""
4,"1 time per month",437,1813,""
5,"2-3 times per month",1088,2901,""
6,"1 time per week",958,3859,""
7,"2 times per week",1140,4999,""
8,"3-4 times per week",790,5789,""
9,"5-6 times per week",258,6047,""
10,"1 time per day",242,6289,""
11,"2 or more times per day",34,6323,""
88,"Blank",109,6432,""
99,"Error",40,6472,""
