"CVDEXCMT.Code.or.Value","CVDEXCMT.Value.Description","CVDEXCMT.Count","CVDEXCMT.Cumulative","CVDEXCMT.Skip.to.Item"
"0","None",2157,2157,NA
"1","Met exclusion criteria",954,3111,NA
"2","Pregnant more than 12 weeks",248,3359,NA
"3","Refusal",59,3418,NA
"4","No time",410,3828,NA
"5","Technical problem",746,4574,NA
"6","Met priority 1 stopping criteria",44,4618,NA
"7","Met priority 2 stopping criteria",453,5071,NA
"8","Not able to calculate VO2max",14,5085,NA
"90","Other",67,5152,NA
".","Missing",0,5152,NA
