"OHX14CSC.Code.or.Value","OHX14CSC.Value.Description","OHX14CSC.Count","OHX14CSC.Cumulative","OHX14CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #14","Value was recorded",1805,1805,NA
"0","Lingual surface caries",18,1823,NA
"1","Occlusal/incisal caries",92,1915,NA
"2","Facial surface caries",2,1917,NA
"3","Mesial caries",5,1922,NA
"4","Distal caries",2,1924,NA
"5","Lingual surface restoration",32,1956,NA
"6","Occlusal/incisal restoration",668,2624,NA
"7","Facial surface restoration",5,2629,NA
"8","Mesial restoration",1,2630,NA
"9","Distal restoration",0,2630,NA
"< blank >","Missing",6326,8956,NA
