"OCD231.Code.or.Value","OCD231.Value.Description","OCD231.Count","OCD231.Cumulative","OCD231.Skip.to.Item"
"1","Agriculture, Forestry, Fishing",42,42,NA
"2","Mining",18,60,NA
"3","Utilities",36,96,NA
"4","Construction",188,284,NA
"5","Manufacturing: Durable Good",226,510,NA
"6","Manufacturing: Non-Durable Goods",169,679,NA
"7","Wholesale Trade",99,778,NA
"8","Retail Trade",382,1160,NA
"9","Transportation, Warehousing",129,1289,NA
"10","Information",83,1372,NA
"11","Finance, Insurance",158,1530,NA
"12","Real Estate, Rental, Leasing",76,1606,NA
"13","Professional, Technical Services",204,1810,NA
"14","Management,Business,Cleaning/Waste Services",170,1980,NA
"15","Education Services",223,2203,NA
"16","Health Care, Social Assistance",519,2722,NA
"17","Arts, Entertainment, Recreation",92,2814,NA
"18","Accommodation, Food Services",289,3103,NA
"19","Other Services",145,3248,NA
"20","Private Households",41,3289,NA
"21","Public Administration",125,3414,NA
"22","Armed Forces",4,3418,NA
".","Missing",3046,6464,NA
