"FFQ0114.Code.or.Value","FFQ0114.Value.Description","FFQ0114.Count","FFQ0114.Cumulative","FFQ0114.Skip.to.Item"
1,"never",505,505,NA
2,"1-6 times per year",1588,2093,NA
3,"7-11 times per year",1283,3376,NA
4,"1 time per month",1016,4392,NA
5,"2-3 times per month",1080,5472,NA
6,"1 time per week",379,5851,NA
7,"2 times per week",250,6101,NA
8,"3-4 times per week",139,6240,NA
9,"5-6 times per week",48,6288,NA
10,"1 time per day",38,6326,NA
11,"2 or more times per day",22,6348,NA
88,"Blank",99,6447,NA
99,"Error",25,6472,NA
