"OHX14CTC.Code.or.Value","OHX14CTC.Value.Description","OHX14CTC.Count","OHX14CTC.Cumulative","OHX14CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",636,636,NA
"J","Permanent root tip is present but no restorative replacement is present",77,713,NA
"K","Primary tooth with surface condition (s)",0,713,NA
"M","Missing due to other causes",1,714,NA
"P","Missing due to dental disease but replaced by a removable restoration",679,1393,NA
"Q","Missing due to other causes but replaced by a removable restoration",1,1394,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",74,1468,NA
"S","Sound permanent tooth",3093,4561,NA
"T","Permanent root tip is present but a restorative replacement is present",1,4562,NA
"U","Unerupted",1200,5762,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,5763,NA
"Y","Tooth present, condition cannot be assessed",48,5811,NA
"Z","Permanent tooth with surface condition (s)",2630,8441,NA
"< blank >","Missing",515,8956,NA
