"FFQ0028.Code.or.Value","FFQ0028.Value.Description","FFQ0028.Count","FFQ0028.Cumulative","FFQ0028.Skip.to.Item"
1,"never",2098,2098,NA
2,"1-6 times per year",1002,3100,NA
3,"7-11 times per year",534,3634,NA
4,"1 time per month",507,4141,NA
5,"2-3 times per month",820,4961,NA
6,"1 time per week",440,5401,NA
7,"2 times per week",422,5823,NA
8,"3-4 times per week",313,6136,NA
9,"5-6 times per week",104,6240,NA
10,"1 time per day",105,6345,NA
11,"2 or more times per day",22,6367,NA
88,"Blank",74,6441,NA
99,"Error",31,6472,NA
