"BHQ060.Code.or.Value","BHQ060.Value.Description","BHQ060.Count","BHQ060.Cumulative","BHQ060.Skip.to.Item"
"1","Type 1 (separate hard lumps, like nuts),",82,82,NA
"2","Type 2 (sausage-like, but lumpy),",237,319,NA
"3","Type 3 (like a sausage but with cracks in the surface),",1140,1459,NA
"4","Type 4 (like a sausage or snake, smooth and soft),",2238,3697,NA
"5","Type 5 (soft blobs with clear-cut edges),",281,3978,NA
"6","Type 6 (fluffy pieces with ragged edges, a mushy stool),",230,4208,NA
"7","Type 7 (watery, no solid pieces),",32,4240,NA
"77","Refused",4,4244,NA
"99","Don't know",64,4308,NA
".","Missing",465,4773,NA
