"OHX09CSC.Code.or.Value","OHX09CSC.Value.Description","OHX09CSC.Count","OHX09CSC.Cumulative","OHX09CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #9","Value was recorded",563,563,NA
"0","Lingual surface caries",15,578,NA
"2","Facial surface caries",19,597,NA
"3","Mesial caries",73,670,NA
"4","Distal caries",36,706,NA
"5","Lingual surface restoration",28,734,NA
"7","Facial surface restoration",14,748,NA
"8","Mesial restoration",69,817,NA
"9","Distal restoration",68,885,NA
"< blank >","Missing",8537,9422,NA
