"MCQ230B.Code.or.Value","MCQ230B.Value.Description","MCQ230B.Count","MCQ230B.Cumulative","MCQ230B.Skip.to.Item"
"10","Bladder",2,2,NA
"11","Blood",0,2,NA
"12","Bone",1,3,NA
"13","Brain",0,3,NA
"14","Breast",1,4,NA
"15","Cervix (cervical)",2,6,NA
"16","Colon",2,8,NA
"17","Esophagus (esophageal)",1,9,NA
"18","Gallbladder",0,9,NA
"19","Kidney",1,10,NA
"20","Larynx/ windpipe",0,10,NA
"21","Leukemia",1,11,NA
"22","Liver",1,12,NA
"23","Lung",0,12,NA
"24","Lymphoma/Hodgkin's disease",0,12,NA
"25","Melanoma",2,14,NA
"26","Mouth/tongue/lip",0,14,NA
"27","Nervous system",0,14,NA
"28","Ovary (ovarian)",5,19,NA
"29","Pancreas (pancreatic)",0,19,NA
"30","Prostate",8,27,NA
"31","Rectum (rectal)",1,28,NA
"32","Skin (non-melanoma)",4,32,NA
"33","Skin (don't know what kind)",3,35,NA
"34","Soft tissue (muscle or fat)",0,35,NA
"35","Stomach",0,35,NA
"36","Testis (testicular)",0,35,NA
"37","Thyroid",0,35,NA
"38","Uterus (uterine)",2,37,NA
"39","Other",7,44,NA
"66","More than 3 kinds",0,44,NA
"77","Refused",0,44,NA
"99","Don't know",0,44,NA
".","Missing",9778,9822,NA
