"OHX07CTC.Code.or.Value","OHX07CTC.Value.Description","OHX07CTC.Count","OHX07CTC.Cumulative","OHX07CTC.Skip.to.Item"
"D","Sound primary tooth",888,888,NA
"E","Missing due to dental disease",106,994,NA
"K","Primary tooth with surface condition (s)",53,1047,NA
"M","Missing due to other causes",18,1065,NA
"R","Missing due to dental disease but replaced",786,1851,NA
"S","Sound permanent tooth",5241,7092,NA
"U","Unerupted",129,7221,NA
"X","Missing due to other causes but replaced",47,7268,NA
"Y","Tooth present, condition cannot be assessed",103,7371,NA
"Z","Permanent tooth with surface condition (s)",669,8040,NA
"< blank >","Missing",547,8587,NA
