"OHX09CSC.Code.or.Value","OHX09CSC.Value.Description","OHX09CSC.Count","OHX09CSC.Cumulative","OHX09CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",476,476,NA
"0","Lingual surface caries",8,484,NA
"2","Facial surface caries",25,509,NA
"3","Mesial caries",121,630,NA
"4","Distal caries",69,699,NA
"5","Lingual surface restoration",13,712,NA
"7","Facial surface restoration",31,743,NA
"8","Mesial restoration",93,836,NA
"9","Distal restoration",104,940,NA
"< blank >","Missing",7907,8847,NA
