"OHX20RSC.Code.or.Value","OHX20RSC.Value.Description","OHX20RSC.Count","OHX20RSC.Cumulative","OHX20RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #20","Value was recorded",1,1,NA
"0","lingual AMALGAM restoration",0,1,NA
"1","occlusal AMALGAM restoration",8,9,NA
"2","facial AMALGAM restoration",2,11,NA
"3","mesial AMALGAM restoration",0,11,NA
"4","distal AMALGAM restoration",1,12,NA
"5","lingual OTHER restoration",0,12,NA
"6","occlusal OTHER restoration",4,16,NA
"7","facial OTHER restoration",1,17,NA
"8","mesial OTHER restoration",0,17,NA
"9","distal OTHER restoration",0,17,NA
"-1","Crown (non-specific full-coverage restoration)",0,17,NA
"< blank >","Missing",9148,9165,NA
