"OSQ100a.Code.or.Value","OSQ100a.Value.Description","OSQ100a.Count","OSQ100a.Cumulative","OSQ100a.Skip.to.Item"
"10","HEAD/FACE",9,9,NA
"11","UPPER ARM (HUMERUS)",2,11,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",5,16,NA
"13","ELBOW",3,19,NA
"14","HAND",22,41,NA
"15","FINGERS",63,104,NA
"16","SHOULDER",10,114,NA
"17","COLLAR BONE",2,116,NA
"18","RIBS (EITHER SIDE)",21,137,NA
"19","PELVIS (NOT HIP)",4,141,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",3,144,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",14,158,NA
"22","KNEE (PATELLA)",12,170,NA
"23","ANKLE",76,246,NA
"24","HEEL",0,246,NA
"25","FOOT",51,297,NA
"26","TOES",72,369,NA
"27","OTHER (DO NOT SPECIFY)",9,378,NA
"77","Refused",0,378,NA
"99","Don't know",0,378,NA
".","Missing",5557,5935,NA
