"FFQ0078.Code.or.Value","FFQ0078.Value.Description","FFQ0078.Count","FFQ0078.Cumulative","FFQ0078.Skip.to.Item"
1,"never",1505,1505,NA
2,"1-6 times per year",1399,2904,NA
3,"7-11 times per year",945,3849,NA
4,"1 time per month",720,4569,NA
5,"2-3 times per month",986,5555,NA
6,"1 time per week",358,5913,NA
7,"2 times per week",241,6154,NA
8,"3-4 times per week",102,6256,NA
9,"5-6 times per week",30,6286,NA
10,"1 time per day",34,6320,NA
11,"2 or more times per day",19,6339,NA
88,"Blank",107,6446,NA
99,"Error",26,6472,NA
