"OHX06CTC.Code.or.Value","OHX06CTC.Value.Description","OHX06CTC.Count","OHX06CTC.Cumulative","OHX06CTC.Skip.to.Item"
"D","Sound primary tooth",1460,1460,NA
"E","Missing due to dental disease",99,1559,NA
"K","Primary tooth with surface condition (s)",37,1596,NA
"M","Missing due to other causes",11,1607,NA
"R","Missing due to dental disease but replaced",704,2311,NA
"S","Sound permanent tooth",5086,7397,NA
"U","Unerupted",77,7474,NA
"X","Missing due to other causes but replaced",15,7489,NA
"Y","Tooth present, condition cannot be assessed",95,7584,NA
"Z","Permanent tooth with surface condition (s)",456,8040,NA
"< blank >","Missing",547,8587,NA
