"OHX06RSC.Code.or.Value","OHX06RSC.Value.Description","OHX06RSC.Count","OHX06RSC.Cumulative","OHX06RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #6","Value was recorded",1,1,NA
"0","lingual AMALGAM restoration",0,1,NA
"1","occlusal AMALGAM restoration",0,1,NA
"2","facial AMALGAM restoration",0,1,NA
"3","mesial AMALGAM restoration",0,1,NA
"4","distal AMALGAM restoration",2,3,NA
"5","lingual OTHER restoration",2,5,NA
"6","occlusal OTHER restoration",0,5,NA
"7","facial OTHER restoration",1,6,NA
"8","mesial OTHER restoration",2,8,NA
"9","distal OTHER restoration",0,8,NA
"-1","Crown (non-specific full-coverage restoration)",1,9,NA
"< blank >","Missing",9156,9165,NA
