"OHX14CSC.Code.or.Value","OHX14CSC.Value.Description","OHX14CSC.Count","OHX14CSC.Cumulative","OHX14CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1682,1682,NA
"0","Lingual surface caries",20,1702,NA
"1","Occlusal/incisal caries",118,1820,NA
"2","Facial surface caries",3,1823,NA
"3","Mesial caries",8,1831,NA
"4","Distal caries",2,1833,NA
"5","Lingual surface restoration",43,1876,NA
"6","Occlusal/incisal restoration",589,2465,NA
"7","Facial surface restoration",1,2466,NA
"8","Mesial restoration",1,2467,NA
"9","Distal restoration",0,2467,NA
"< blank >","Missing",6120,8587,NA
