"OHX24CSC.Code.or.Value","OHX24CSC.Value.Description","OHX24CSC.Count","OHX24CSC.Cumulative","OHX24CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",73,73,NA
"0","Lingual surface caries",0,73,NA
"2","Facial surface caries",6,79,NA
"3","Mesial caries",17,96,NA
"4","Distal caries",9,105,NA
"5","Lingual surface restoration",3,108,NA
"7","Facial surface restoration",13,121,NA
"8","Mesial restoration",14,135,NA
"9","Distal restoration",12,147,NA
"< blank >","Missing",8700,8847,NA
