"OHX11CTC.Code.or.Value","OHX11CTC.Value.Description","OHX11CTC.Count","OHX11CTC.Cumulative","OHX11CTC.Skip.to.Item"
"D","Sound primary tooth",1908,1908,NA
"E","Missing due to dental disease",152,2060,NA
"J","Permanent root tip is present but no restorative replacement is present",41,2101,NA
"K","Primary tooth with surface condition (s)",53,2154,NA
"M","Missing due to other causes",13,2167,NA
"P","Missing due to dental disease but replaced by a removable restoration",565,2732,NA
"Q","Missing due to other causes but replaced by a removable restoration",2,2734,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",15,2749,NA
"S","Sound permanent tooth",4860,7609,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7610,NA
"U","Unerupted",172,7782,NA
"X","Missing due to other causes, but replaced by a fixed restoration",2,7784,NA
"Y","Tooth present, condition cannot be assessed",177,7961,NA
"Z","Permanent tooth with surface condition (s)",480,8441,NA
"< blank >","Missing",515,8956,NA
