"OHX13CSC.Code.or.Value","OHX13CSC.Value.Description","OHX13CSC.Count","OHX13CSC.Cumulative","OHX13CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1137,1137,NA
"0","Lingual surface caries",20,1157,NA
"1","Occlusal/incisal caries",57,1214,NA
"2","Facial surface caries",3,1217,NA
"3","Mesial caries",14,1231,NA
"4","Distal caries",12,1243,NA
"5","Lingual surface restoration",7,1250,NA
"6","Occlusal/incisal restoration",267,1517,NA
"7","Facial surface restoration",4,1521,NA
"8","Mesial restoration",2,1523,NA
"9","Distal restoration",4,1527,NA
"< blank >","Missing",7060,8587,NA
