"OHX20CTC.Code.or.Value","OHX20CTC.Value.Description","OHX20CTC.Count","OHX20CTC.Cumulative","OHX20CTC.Skip.to.Item"
"D","Sound primary tooth",1178,1178,NA
"E","Missing due to dental disease",371,1549,NA
"J","Permanent root tip is present but no restorative replacement is present",32,1581,NA
"K","Primary tooth with surface condition (s)",395,1976,NA
"M","Missing due to other causes",10,1986,NA
"P","Missing due to dental disease but replaced by a removable restoration",620,2606,NA
"Q","Missing due to other causes but replaced by a removable restoration",3,2609,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",46,2655,NA
"S","Sound permanent tooth",4165,6820,NA
"T","Permanent root tip is present but a restorative replacement is present",0,6820,NA
"U","Unerupted",107,6927,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,6927,NA
"Y","Tooth present, condition cannot be assessed",0,6927,NA
"Z","Permanent tooth with surface condition (s)",1318,8245,NA
"< blank >","Missing",602,8847,NA
