"OHX02CSC.Code.or.Value","OHX02CSC.Value.Description","OHX02CSC.Count","OHX02CSC.Cumulative","OHX02CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #2","Value was recorded",963,963,NA
"0","Lingual surface caries",8,971,NA
"1","Occlusal/incisal caries",102,1073,NA
"2","Facial surface caries",2,1075,NA
"3","Mesial caries",4,1079,NA
"4","Distal caries",4,1083,NA
"5","Lingual surface restoration",7,1090,NA
"6","Occlusal/incisal restoration",923,2013,NA
"7","Facial surface restoration",1,2014,NA
"8","Mesial restoration",0,2014,NA
"9","Distal restoration",0,2014,NA
"< blank >","Missing",6942,8956,NA
