"OHX21CSC.Code.or.Value","OHX21CSC.Value.Description","OHX21CSC.Count","OHX21CSC.Cumulative","OHX21CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #21","Value was recorded",732,732,NA
"0","Lingual surface caries",0,732,NA
"1","Occlusal/incisal caries",38,770,NA
"2","Facial surface caries",31,801,NA
"3","Mesial caries",3,804,NA
"4","Distal caries",7,811,NA
"5","Lingual surface restoration",0,811,NA
"6","Occlusal/incisal restoration",308,1119,NA
"7","Facial surface restoration",42,1161,NA
"8","Mesial restoration",0,1161,NA
"9","Distal restoration",0,1161,NA
"< blank >","Missing",7795,8956,NA
