"PFQ063A.Code.or.Value","PFQ063A.Value.Description","PFQ063A.Count","PFQ063A.Cumulative","PFQ063A.Skip.to.Item"
"10","Arthritis/rheumatism",746,746,NA
"11","Back or neck problem",445,1191,NA
"12","Birth defect",7,1198,NA
"13","Cancer",26,1224,NA
"14","Depression/anxiety/emotional problem",75,1299,NA
"15","Other developmental problem (such as cerebral palsy)",5,1304,NA
"16","Diabetes",79,1383,NA
"17","Fractures, bone/joint injury",143,1526,NA
"18","Hearing problem",18,1544,NA
"19","Heart problem",58,1602,NA
"20","Hypertension/high blood pressure",36,1638,NA
"21","Lung/breathing problem",40,1678,NA
"22","Mental retardation",6,1684,NA
"23","Other injury",24,1708,NA
"24","Senility",8,1716,NA
"25","Stroke problem",29,1745,NA
"26","Vision/problem seeing",14,1759,NA
"27","Weight problem",20,1779,NA
"28","Other impairment/problem",263,2042,NA
"77","Refused",1,2043,NA
"99","Don't know",12,2055,NA
".","Missing",6961,9016,NA
