"FFQ0025B.Code.or.Value","FFQ0025B.Value.Description","FFQ0025B.Count","FFQ0025B.Cumulative","FFQ0025B.Skip.to.Item"
1,"never",638,638,NA
2,"1-6 times per year",1416,2054,NA
3,"7-11 times per year",664,2718,NA
4,"1 time per month",526,3244,NA
5,"2-3 times per month",829,4073,NA
6,"1 time per week",412,4485,NA
7,"2 times per week",441,4926,NA
8,"3-4 times per week",280,5206,NA
9,"5-6 times per week",120,5326,NA
10,"1 time per day",138,5464,NA
11,"2 or more times per day",81,5545,NA
88,"Blank",902,6447,NA
99,"Error",25,6472,NA
