"OSQ100b.Code.or.Value","OSQ100b.Value.Description","OSQ100b.Count","OSQ100b.Cumulative","OSQ100b.Skip.to.Item"
"10","HEAD/FACE",3,3,NA
"11","UPPER ARM (HUMERUS)",1,4,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",1,5,NA
"13","ELBOW",1,6,NA
"14","HAND",4,10,NA
"15","FINGERS",8,18,NA
"16","SHOULDER",2,20,NA
"17","COLLAR BONE",1,21,NA
"18","RIBS (EITHER SIDE)",7,28,NA
"19","PELVIS (NOT HIP)",1,29,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,29,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",3,32,NA
"22","KNEE (PATELLA)",2,34,NA
"23","ANKLE",7,41,NA
"24","HEEL",0,41,NA
"25","FOOT",8,49,NA
"26","TOES",13,62,NA
"27","OTHER (DO NOT SPECIFY)",0,62,NA
"77","Refused",0,62,NA
"99","Don't know",0,62,NA
".","Missing",6156,6218,NA
