"INDHHIN2.Code.or.Value","INDHHIN2.Value.Description","INDHHIN2.Count","INDHHIN2.Cumulative","INDHHIN2.Skip.to.Item"
"1","$     0 to $ 4,999",203,203,NA
"2","$ 5,000 to $ 9,999",500,703,NA
"3","$10,000 to $14,999",772,1475,NA
"4","$15,000 to $19,999",797,2272,NA
"5","$20,000 to $24,999",878,3150,NA
"6","$25,000 to $34,999",1274,4424,NA
"7","$35,000 to $44,999",943,5367,NA
"8","$45,000 to $54,999",745,6112,NA
"9","$55,000 to $64,999",604,6716,NA
"10","$65,000 to $74,999",535,7251,NA
"12","Over $20,000",350,7601,NA
"13","Under $20,000",111,7712,NA
"14","$75,000 to $99,999",865,8577,NA
"15","$100,000 and Over",1195,9772,NA
"77","Refused",134,9906,NA
"99","Don't know",166,10072,NA
".","Missing",77,10149,NA
