"OSQ100a.Code.or.Value","OSQ100a.Value.Description","OSQ100a.Count","OSQ100a.Cumulative","OSQ100a.Skip.to.Item"
"10","HEAD/FACE",2,2,NA
"11","UPPER ARM (HUMERUS)",2,4,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",2,6,NA
"13","ELBOW",5,11,NA
"14","HAND",17,28,NA
"15","FINGERS",41,69,NA
"16","SHOULDER",5,74,NA
"17","COLLAR BONE",0,74,NA
"18","RIBS (EITHER SIDE)",14,88,NA
"19","PELVIS (NOT HIP)",0,88,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",1,89,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",13,102,NA
"22","KNEE (PATELLA)",8,110,NA
"23","ANKLE",41,151,NA
"24","HEEL",1,152,NA
"25","FOOT",35,187,NA
"26","TOES",42,229,NA
"27","OTHER (DO NOT SPECIFY)",7,236,NA
"77","Refused",0,236,NA
"99","Don't know",0,236,NA
".","Missing",3579,3815,NA
