"OHX29CTC.Code.or.Value","OHX29CTC.Value.Description","OHX29CTC.Count","OHX29CTC.Cumulative","OHX29CTC.Skip.to.Item"
"D","Sound primary tooth",1349,1349,NA
"E","Missing due to dental disease",391,1740,NA
"J","Permanent root tip is present but no restorative replacement is present",72,1812,NA
"K","Primary tooth with surface condition (s)",488,2300,NA
"M","Missing due to other causes",7,2307,NA
"P","Missing due to dental disease, but replaced by a removable restoration",475,2782,NA
"Q","Missing due to other causes, but replaced by a removable restoration",0,2782,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",47,2829,NA
"S","Sound permanent tooth",3901,6730,NA
"T","Permanent root tip is present but a restorative replacement is present",1,6731,NA
"U","Unerupted",304,7035,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,7036,NA
"Y","Tooth present, condition cannot be assessed",34,7070,NA
"Z","Permanent tooth with surface condition (s)",1371,8441,NA
"< blank >","Missing",515,8956,NA
