"OHX14CTC.Code.or.Value","OHX14CTC.Value.Description","OHX14CTC.Count","OHX14CTC.Cumulative","OHX14CTC.Skip.to.Item"
"E","Missing due to dental disease",586,586,NA
"J","Permanent root tip is present but no restorative replacement is present",42,628,NA
"M","Missing due to other causes",3,631,NA
"P","Missing due to dental disease but replaced by a removable restoration",876,1507,NA
"Q","Missing due to other causes but replaced by a removable restoration",5,1512,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",57,1569,NA
"S","Sound permanent tooth",3235,4804,NA
"T","Permanent root tip is present but a restorative replacement is present",1,4805,NA
"U","Unerupted",813,5618,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,5619,NA
"Y","Tooth present, condition cannot be assessed",2,5621,NA
"Z","Permanent tooth with surface condition (s)",2624,8245,NA
"< blank >","Missing",602,8847,NA
